,week,startDate,startDateTime,team1Id,team1Name,team1ShortName,team2Id,team2Name,team2ShortName
0,1,2021-04-16,1618599600000,4525,Houston Outlaws,HOU,4523,Dallas Fuel,DAL
1,1,2021-04-16,1618607100000,4406,Los Angeles Gladiators,GLA,4404,San Francisco Shock,SFS
2,1,2021-04-17,1618650540000,7699,Guangzhou Charge,GZC,4408,Shanghai Dragons,SHD
3,1,2021-04-17,1618656720000,4405,Los Angeles Valiant,VAL,7692,Chengdu Hunters,CDH
4,1,2021-04-17,1618662660000,4524,Philadelphia Fusion,PHI,4409,Seoul Dynasty,SEO
5,1,2021-04-17,1618686000000,7695,Toronto Defiant,TOR,7696,Vancouver Titans,VAN
6,1,2021-04-17,1618692000000,7698,Atlanta Reign,ATL,4407,Florida Mayhem,FLA
7,1,2021-04-17,1618698300000,4523,Dallas Fuel,DAL,4406,Los Angeles Gladiators,GLA
8,1,2021-04-18,1618736700000,7699,Guangzhou Charge,GZC,4409,Seoul Dynasty,SEO
9,1,2021-04-18,1618740960000,7692,Chengdu Hunters,CDH,4408,Shanghai Dragons,SHD
10,1,2021-04-18,1618745400000,4524,Philadelphia Fusion,PHI,4405,Los Angeles Valiant,VAL
11,1,2021-04-18,1618772400000,4525,Houston Outlaws,HOU,4404,San Francisco Shock,SFS
12,1,2021-04-18,1618779900000,4407,Florida Mayhem,FLA,7696,Vancouver Titans,VAN
13,1,2021-04-18,1618786200000,7695,Toronto Defiant,TOR,7698,Atlanta Reign,ATL
14,2,2021-04-23,1619204400000,7694,Paris Eternal,PAR,7696,Vancouver Titans,VAN
15,2,2021-04-23,1619210400000,4406,Los Angeles Gladiators,GLA,4410,London Spitfire,LDN
16,2,2021-04-24,1619255100000,7692,Chengdu Hunters,CDH,4403,New York Excelsior,NYE
17,2,2021-04-24,1619258820000,4524,Philadelphia Fusion,PHI,7693,Hangzhou Spark,HZS
18,2,2021-04-24,1619290800000,4525,Houston Outlaws,HOU,7694,Paris Eternal,PAR
19,2,2021-04-24,1619297100000,4402,Boston Uprising,BOS,4406,Los Angeles Gladiators,GLA
20,2,2021-04-24,1619301600000,7697,Washington Justice,WAS,4523,Dallas Fuel,DAL
21,2,2021-04-25,1619341500000,7693,Hangzhou Spark,HZS,4403,New York Excelsior,NYE
22,2,2021-04-25,1619347260000,7692,Chengdu Hunters,CDH,4524,Philadelphia Fusion,PHI
23,2,2021-04-25,1619377200000,4525,Houston Outlaws,HOU,4410,London Spitfire,LDN
24,2,2021-04-25,1619380800000,4402,Boston Uprising,BOS,4523,Dallas Fuel,DAL
25,2,2021-04-25,1619385300000,7696,Vancouver Titans,VAN,7697,Washington Justice,WAS
26,3,2021-04-29,1619722800000,7694,Paris Eternal,PAR,7698,Atlanta Reign,ATL
27,3,2021-04-29,1619726400000,7697,Washington Justice,WAS,4402,Boston Uprising,BOS
28,3,2021-04-30,1619773500000,4405,Los Angeles Valiant,VAL,7699,Guangzhou Charge,GZC
29,3,2021-04-30,1619777400000,4409,Seoul Dynasty,SEO,4403,New York Excelsior,NYE
30,3,2021-04-30,1619781900000,4408,Shanghai Dragons,SHD,7693,Hangzhou Spark,HZS
31,3,2021-04-30,1619809200000,4402,Boston Uprising,BOS,4410,London Spitfire,LDN
32,3,2021-04-30,1619815500000,4404,San Francisco Shock,SFS,4407,Florida Mayhem,FLA
33,3,2021-04-30,1619820000000,7695,Toronto Defiant,TOR,7697,Washington Justice,WAS
34,3,2021-05-01,1619859900000,4409,Seoul Dynasty,SEO,4405,Los Angeles Valiant,VAL
35,3,2021-05-01,1619863920000,7699,Guangzhou Charge,GZC,7693,Hangzhou Spark,HZS
36,3,2021-05-01,1619868000000,4408,Shanghai Dragons,SHD,4403,New York Excelsior,NYE
37,3,2021-05-01,1619895600000,4407,Florida Mayhem,FLA,7694,Paris Eternal,PAR
38,3,2021-05-01,1619901000000,4410,London Spitfire,LDN,7695,Toronto Defiant,TOR
39,3,2021-05-01,1619907000000,4404,San Francisco Shock,SFS,7698,Atlanta Reign,ATL
40,3,2021-05-02,1619946540000,4408,Shanghai Dragons,SHD,4524,Philadelphia Fusion,PHI
41,3,2021-05-02,1619955240000,7692,Chengdu Hunters,CDH,4409,Seoul Dynasty,SEO
42,3,2021-05-02,1619982000000,7695,Toronto Defiant,TOR,4407,Florida Mayhem,FLA
43,3,2021-05-02,1619985600000,4523,Dallas Fuel,DAL,4404,San Francisco Shock,SFS
44,3,2021-05-02,1619990100000,4407,Florida Mayhem,FLA,7697,Washington Justice,WAS
45,3,2021-05-02,1619997300000,4523,Dallas Fuel,DAL,4525,Houston Outlaws,HOU
46,4,2021-05-06,1620352800000,4408,Shanghai Dragons,SHD,4407,Florida Mayhem,FLA
47,4,2021-05-07,1620361200000,4523,Dallas Fuel,DAL,7692,Chengdu Hunters,CDH
48,4,2021-05-07,1620435600000,4523,Dallas Fuel,DAL,4408,Shanghai Dragons,SHD
49,4,2021-05-07,1620444300000,4407,Florida Mayhem,FLA,7692,Chengdu Hunters,CDH
50,4,2021-05-08,1620451800000,4408,Shanghai Dragons,SHD,4407,Florida Mayhem,FLA
51,4,2021-05-08,1620522000000,4408,Shanghai Dragons,SHD,4523,Dallas Fuel,DAL
52,6,2021-05-21,1621623600000,7694,Paris Eternal,PAR,7695,Toronto Defiant,TOR
53,6,2021-05-21,1621629900000,4410,London Spitfire,LDN,4407,Florida Mayhem,FLA
54,6,2021-05-22,1621674420000,7699,Guangzhou Charge,GZC,7693,Hangzhou Spark,HZS
55,6,2021-05-22,1621680900000,4408,Shanghai Dragons,SHD,7692,Chengdu Hunters,CDH
56,6,2021-05-22,1621686120000,4403,New York Excelsior,NYE,4524,Philadelphia Fusion,PHI
57,6,2021-05-22,1621710000000,7694,Paris Eternal,PAR,7697,Washington Justice,WAS
58,6,2021-05-22,1621719000000,4525,Houston Outlaws,HOU,7698,Atlanta Reign,ATL
