match_id,map_name,team,p1,p2,p3,p4,p5,p6
10223,Dorado,Los Angeles Valiant,Agilities,Envy,Fate,KariV,SoOn,uNKOE
10223,Dorado,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10223,Ilios,Los Angeles Valiant,Envy,Fate,KariV,SoOn,silkthread,uNKOE
10223,Ilios,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10223,Numbani,Los Angeles Valiant,Envy,Fate,KariV,SoOn,silkthread,uNKOE
10223,Numbani,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10223,Temple of Anubis,Los Angeles Valiant,Agilities,Envy,Fate,KariV,SoOn,uNKOE
10223,Temple of Anubis,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10224,Dorado,Los Angeles Gladiators,BigG00se,Bischu,Hydration,Shaz,Surefour,iRemiix
10224,Dorado,Shanghai Dragons,Altering,Diya,Freefeel,Roshan,Undead,Xushu
10224,Eichenwalde,Los Angeles Gladiators,Asher,BigG00se,Bischu,Shaz,Surefour,iRemiix
10224,Eichenwalde,Shanghai Dragons,Diya,Fiveking,Freefeel,MG,Roshan,Undead
10224,Ilios,Los Angeles Gladiators,Asher,BigG00se,Bischu,Hydration,Shaz,iRemiix
10224,Ilios,Shanghai Dragons,Altering,Diya,Freefeel,MG,Roshan,Undead
10224,Temple of Anubis,Los Angeles Gladiators,Asher,BigG00se,Bischu,Shaz,Surefour,iRemiix
10224,Temple of Anubis,Shanghai Dragons,Altering,Diya,Freefeel,MG,Roshan,Undead
10225,Ilios,Dallas Fuel,Chipshajen,EFFECT,HarryHook,Mickie,Taimou,xQc
10225,Ilios,Seoul Dynasty,Fleta,Miro,Munchkin,ZUNBA,ryujehong,tobi
10225,Junkertown,Dallas Fuel,Custa,EFFECT,HarryHook,Mickie,Seagull,Taimou
10225,Junkertown,Seoul Dynasty,Fleta,Miro,Munchkin,ZUNBA,ryujehong,tobi
10225,Numbani,Dallas Fuel,Chipshajen,EFFECT,HarryHook,Mickie,Taimou,xQc
10225,Numbani,Seoul Dynasty,Fleta,Miro,Munchkin,ZUNBA,ryujehong,tobi
10225,Temple of Anubis,Dallas Fuel,Chipshajen,EFFECT,HarryHook,Mickie,Taimou,xQc
10225,Temple of Anubis,Seoul Dynasty,Fleta,Miro,Munchkin,ZUNBA,ryujehong,tobi
10226,Dorado,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10226,Dorado,London Spitfire,Bdosin,Birdring,Fury,Gesture,NUS,Profit
10226,Numbani,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10226,Numbani,London Spitfire,Bdosin,Birdring,Fury,Gesture,NUS,Profit
10226,Oasis,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10226,Oasis,London Spitfire,Bdosin,Birdring,Fury,Gesture,NUS,Profit
10226,Temple of Anubis,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10226,Temple of Anubis,London Spitfire,Bdosin,Birdring,Fury,Gesture,NUS,Profit
10227,Dorado,Houston Outlaws,Bani,Jake,LiNkzr,Muma,Rawkus,coolmatt
10227,Dorado,Philadelphia Fusion,Boombox,Poko,ShaDowBurn,carpe,fragi,neptuNo
10227,Eichenwalde,Houston Outlaws,Bani,Jake,LiNkzr,Muma,Rawkus,coolmatt
10227,Eichenwalde,Philadelphia Fusion,Boombox,Poko,ShaDowBurn,carpe,fragi,neptuNo
10227,Horizon Lunar Colony,Houston Outlaws,Bani,Jake,LiNkzr,Muma,Rawkus,coolmatt
10227,Horizon Lunar Colony,Philadelphia Fusion,Boombox,Poko,ShaDowBurn,carpe,fragi,neptuNo
10227,Lijiang Tower,Houston Outlaws,Boink,Jake,LiNkzr,Muma,Rawkus,Spree
10227,Lijiang Tower,Philadelphia Fusion,Boombox,Poko,ShaDowBurn,carpe,fragi,neptuNo
10227,Oasis,Houston Outlaws,Boink,Clockwork,Jake,Muma,Rawkus,coolmatt
10227,Oasis,Philadelphia Fusion,Boombox,Poko,ShaDowBurn,carpe,fragi,neptuNo
10228,Horizon Lunar Colony,Boston Uprising,DreamKazper,Gamsu,Kalios,Kellex,Neko,STRIKER
10228,Horizon Lunar Colony,New York Excelsior,ArK,JJonak,Libero,Mano,MekO,SAEBYEOLBE
10228,Ilios,Boston Uprising,DreamKazper,Gamsu,Kellex,Neko,NotE,STRIKER
10228,Ilios,New York Excelsior,ArK,JJonak,Janus,MekO,Pine,SAEBYEOLBE
10228,Junkertown,Boston Uprising,DreamKazper,Gamsu,Kalios,Kellex,Neko,STRIKER
10228,Junkertown,New York Excelsior,ArK,JJonak,Libero,Mano,MekO,SAEBYEOLBE
10228,Numbani,Boston Uprising,DreamKazper,Gamsu,Kellex,Neko,NotE,STRIKER
10228,Numbani,New York Excelsior,ArK,JJonak,Janus,Libero,MekO,SAEBYEOLBE
10229,Horizon Lunar Colony,Dallas Fuel,Custa,EFFECT,HarryHook,Mickie,Taimou,cocco
10229,Horizon Lunar Colony,Los Angeles Valiant,Envy,Fate,KariV,SoOn,silkthread,uNKOE
10229,Ilios,Dallas Fuel,Chipshajen,EFFECT,HarryHook,Mickie,Seagull,xQc
10229,Ilios,Los Angeles Valiant,Envy,Fate,KariV,SoOn,silkthread,uNKOE
10229,Junkertown,Dallas Fuel,Custa,EFFECT,HarryHook,Mickie,Seagull,Taimou
10229,Junkertown,Los Angeles Valiant,Agilities,Envy,Fate,KariV,SoOn,uNKOE
10229,Numbani,Dallas Fuel,Chipshajen,EFFECT,HarryHook,Mickie,Taimou,xQc
10229,Numbani,Los Angeles Valiant,Envy,Fate,KariV,SoOn,silkthread,uNKOE
10230,Dorado,Boston Uprising,DreamKazper,Gamsu,Kalios,Kellex,Neko,STRIKER
10230,Dorado,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10230,Eichenwalde,Boston Uprising,DreamKazper,Gamsu,Kalios,Kellex,Neko,STRIKER
10230,Eichenwalde,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10230,Oasis,Boston Uprising,DreamKazper,Gamsu,Kalios,Kellex,Neko,STRIKER
10230,Oasis,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10230,Temple of Anubis,Boston Uprising,DreamKazper,Gamsu,Kalios,Kellex,Neko,STRIKER
10230,Temple of Anubis,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10231,Horizon Lunar Colony,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10231,Horizon Lunar Colony,Shanghai Dragons,Altering,Diya,Freefeel,Roshan,Undead,Xushu
10231,Ilios,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10231,Ilios,Shanghai Dragons,Altering,Diya,Freefeel,Roshan,Undead,Xushu
10231,Junkertown,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10231,Junkertown,Shanghai Dragons,Altering,Diya,Freefeel,Roshan,Undead,Xushu
10231,Numbani,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10231,Numbani,Shanghai Dragons,Altering,Diya,Freefeel,Roshan,Undead,Xushu
10232,Horizon Lunar Colony,London Spitfire,Bdosin,Birdring,Fury,Gesture,NUS,Profit
10232,Horizon Lunar Colony,Philadelphia Fusion,Boombox,DayFly,Poko,ShaDowBurn,carpe,fragi
10232,Ilios,London Spitfire,Bdosin,Birdring,Fury,Gesture,NUS,Profit
10232,Ilios,Philadelphia Fusion,Boombox,DayFly,Poko,ShaDowBurn,carpe,fragi
10232,Junkertown,London Spitfire,Bdosin,Birdring,Fury,Gesture,NUS,Profit
10232,Junkertown,Philadelphia Fusion,Boombox,DayFly,Poko,ShaDowBurn,carpe,fragi
10232,Numbani,London Spitfire,Bdosin,Birdring,Fury,Gesture,NUS,Profit
10232,Numbani,Philadelphia Fusion,Boombox,DayFly,Poko,ShaDowBurn,carpe,fragi
10233,Ilios,Houston Outlaws,Bani,Clockwork,LiNkzr,Muma,Rawkus,coolmatt
10233,Ilios,New York Excelsior,ArK,JJonak,Janus,MekO,Pine,SAEBYEOLBE
10233,Junkertown,Houston Outlaws,Bani,Jake,LiNkzr,Muma,Rawkus,coolmatt
10233,Junkertown,New York Excelsior,ArK,JJonak,Libero,Mano,MekO,SAEBYEOLBE
10233,Numbani,Houston Outlaws,Bani,Clockwork,Jake,Muma,Rawkus,coolmatt
10233,Numbani,New York Excelsior,ArK,JJonak,Janus,Libero,MekO,SAEBYEOLBE
10233,Temple of Anubis,Houston Outlaws,Bani,Jake,LiNkzr,Muma,Rawkus,coolmatt
10233,Temple of Anubis,New York Excelsior,ArK,JJonak,Libero,Mano,MekO,SAEBYEOLBE
10234,Horizon Lunar Colony,Los Angeles Gladiators,BigG00se,Bischu,Hydration,Shaz,Surefour,iRemiix
10234,Horizon Lunar Colony,Seoul Dynasty,Bunny,Fleta,KuKi,ZUNBA,ryujehong,tobi
10234,Ilios,Los Angeles Gladiators,Asher,BigG00se,Bischu,Shaz,Surefour,iRemiix
10234,Ilios,Seoul Dynasty,Bunny,Fleta,KuKi,ZUNBA,ryujehong,tobi
10234,Junkertown,Los Angeles Gladiators,Asher,BigG00se,Bischu,Hydration,Shaz,iRemiix
10234,Junkertown,Seoul Dynasty,Fleta,KuKi,Wekeed,ZUNBA,ryujehong,tobi
10234,Numbani,Los Angeles Gladiators,BigG00se,Bischu,Hydration,Shaz,Surefour,iRemiix
10234,Numbani,Seoul Dynasty,Fleta,KuKi,Wekeed,ZUNBA,ryujehong,tobi
10235,Dorado,Philadelphia Fusion,Boombox,Poko,ShaDowBurn,carpe,fragi,neptuNo
10235,Dorado,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10235,Eichenwalde,Philadelphia Fusion,Boombox,Poko,ShaDowBurn,carpe,fragi,neptuNo
10235,Eichenwalde,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10235,Oasis,Philadelphia Fusion,Boombox,Poko,ShaDowBurn,carpe,fragi,neptuNo
10235,Oasis,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10235,Temple of Anubis,Philadelphia Fusion,Boombox,Poko,ShaDowBurn,carpe,fragi,neptuNo
10235,Temple of Anubis,San Francisco Shock,Danteh,Nevix,Nomy,babybay,dhaK,sleepy
10236,Dorado,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10236,Dorado,Seoul Dynasty,Fleta,Gido,KuKi,Munchkin,ryujehong,xepheR
10236,Eichenwalde,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10236,Eichenwalde,Seoul Dynasty,Fleta,KuKi,Munchkin,ryujehong,tobi,xepheR
10236,Horizon Lunar Colony,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10236,Horizon Lunar Colony,Seoul Dynasty,Fleta,KuKi,Munchkin,ryujehong,tobi,xepheR
10236,Oasis,Florida Mayhem,CWoosH,Logix,Manneten,TviQ,Zebbosai,Zuppeh
10236,Oasis,Seoul Dynasty,Fleta,KuKi,Munchkin,ryujehong,tobi,xepheR
10237,Horizon Lunar Colony,Houston Outlaws,Bani,Jake,LiNkzr,Muma,Rawkus,coolmatt
10237,Horizon Lunar Colony,Shanghai Dragons,Altering,Diya,Freefeel,MG,Roshan,Undead
10237,Junkertown,Houston Outlaws,Bani,Jake,LiNkzr,Muma,Rawkus,coolmatt
10237,Junkertown,Shanghai Dragons,Altering,Diya,Freefeel,MG,Roshan,Undead
10237,Numbani,Houston Outlaws,Bani,Jake,LiNkzr,Muma,Rawkus,coolmatt
10237,Numbani,Shanghai Dragons,Altering,Diya,Freefeel,MG,Roshan,Undead
10237,Oasis,Houston Outlaws,Boink,Jake,LiNkzr,Muma,Rawkus,coolmatt
10237,Oasis,Shanghai Dragons,Altering,Diya,Freefeel,MG,Roshan,Undead
10238,Eichenwalde,Dallas Fuel,Chipshajen,Custa,EFFECT,Mickie,Taimou,cocco
10238,Eichenwalde,Houston Outlaws,Bani,Jake,LiNkzr,Muma,Rawkus,coolmatt
10238,Horizon Lunar Colony,Dallas Fuel,Chipshajen,Custa,EFFECT,Mickie,Seagull,cocco
10238,Horizon Lunar Colony,Houston Outlaws,Bani,Jake,LiNkzr,Muma,Rawkus,coolmatt
10238,Junkertown,Dallas Fuel,Chipshajen,Custa,EFFECT,Mickie,Seagull,cocco
10238,Junkertown,Houston Outlaws,Bani,Jake,LiNkzr,Muma,Rawkus,coolmatt
10238,Oasis,Dallas Fuel,Chipshajen,Custa,EFFECT,Mickie,Seagull,cocco
10238,Oasis,Houston Outlaws,Boink,Jake,LiNkzr,Muma,Rawkus,coolmatt
10239,Horizon Lunar Colony,Los Angeles Valiant,Envy,Fate,KariV,SoOn,silkthread,uNKOE
10239,Horizon Lunar Colony,New York Excelsior,ArK,JJonak,Janus,Libero,MekO,SAEBYEOLBE
10239,Junkertown,Los Angeles Valiant,Agilities,Envy,Fate,KariV,SoOn,uNKOE
10239,Junkertown,New York Excelsior,ArK,JJonak,Libero,Mano,MekO,SAEBYEOLBE
10239,Numbani,Los Angeles Valiant,Envy,Fate,KariV,SoOn,silkthread,uNKOE
