Hero Pool,Map1,Map2,Distance
May Melee - 2020,Blizzard World,Busan,0.6875783352014229
May Melee - 2020,Blizzard World,Hanamura,1.0089332883766726
May Melee - 2020,Blizzard World,Hollywood,0.6628282027934138
May Melee - 2020,Blizzard World,Ilios,1.6359478285822409
May Melee - 2020,Blizzard World,Junkertown,0.9582721532515862
May Melee - 2020,Blizzard World,King's Row,1.1134138263203477
May Melee - 2020,Blizzard World,Lijiang Tower,1.5467919088343243
May Melee - 2020,Blizzard World,Nepal,1.4790099007230006
May Melee - 2020,Blizzard World,Oasis,1.1229385438271124
May Melee - 2020,Blizzard World,Rialto,1.3499978189721304
May Melee - 2020,Blizzard World,Temple of Anubis,0.7481811114044684
May Melee - 2020,Blizzard World,Volskaya Industries,0.7273852327952534
May Melee - 2020,Blizzard World,Watchpoint: Gibraltar,1.3696495164552727
May Melee - 2020,Busan,Blizzard World,0.6875783352014229
May Melee - 2020,Busan,Hanamura,0.6525215094436754
May Melee - 2020,Busan,Hollywood,1.011415096233352
May Melee - 2020,Busan,Ilios,2.0195727007543867
May Melee - 2020,Busan,Junkertown,0.5465409589990395
May Melee - 2020,Busan,King's Row,0.9683961434972205
May Melee - 2020,Busan,Lijiang Tower,1.2726226324484644
May Melee - 2020,Busan,Nepal,1.1287642329917047
May Melee - 2020,Busan,Oasis,1.2119932885286557
May Melee - 2020,Busan,Rialto,1.2231392258897582
May Melee - 2020,Busan,Temple of Anubis,0.6652455209104817
May Melee - 2020,Busan,Volskaya Industries,1.1283406502276767
May Melee - 2020,Busan,Watchpoint: Gibraltar,1.7301007583432368
May Melee - 2020,Hanamura,Blizzard World,1.0089332883766726
May Melee - 2020,Hanamura,Busan,0.6525215094436754
May Melee - 2020,Hanamura,Hollywood,1.0727696751856932
May Melee - 2020,Hanamura,Ilios,2.002658174089448
May Melee - 2020,Hanamura,Junkertown,0.568968494475168
May Melee - 2020,Hanamura,King's Row,0.5811875498770974
May Melee - 2020,Hanamura,Lijiang Tower,0.9172669079731508
May Melee - 2020,Hanamura,Nepal,0.7096391234744566
May Melee - 2020,Hanamura,Oasis,0.9889743818135334
May Melee - 2020,Hanamura,Rialto,1.3458811781391713
May Melee - 2020,Hanamura,Temple of Anubis,0.7245899620174889
May Melee - 2020,Hanamura,Volskaya Industries,1.2349843667509108
May Melee - 2020,Hanamura,Watchpoint: Gibraltar,1.718927201649371
May Melee - 2020,Hollywood,Blizzard World,0.6628282027934138
May Melee - 2020,Hollywood,Busan,1.011415096233352
May Melee - 2020,Hollywood,Hanamura,1.0727696751856932
May Melee - 2020,Hollywood,Ilios,1.2909701385543597
May Melee - 2020,Hollywood,Junkertown,1.1146929144740325
May Melee - 2020,Hollywood,King's Row,1.0190572526211477
May Melee - 2020,Hollywood,Lijiang Tower,1.407807660350366
May Melee - 2020,Hollywood,Nepal,1.5072996023512453
May Melee - 2020,Hollywood,Oasis,0.7989313474232251
May Melee - 2020,Hollywood,Rialto,1.5944549831286274
May Melee - 2020,Hollywood,Temple of Anubis,0.8509840431700636
May Melee - 2020,Hollywood,Volskaya Industries,0.3369283554057922
May Melee - 2020,Hollywood,Watchpoint: Gibraltar,0.9591193145301697
May Melee - 2020,Ilios,Blizzard World,1.6359478285822409
May Melee - 2020,Ilios,Busan,2.0195727007543867
May Melee - 2020,Ilios,Hanamura,2.002658174089448
May Melee - 2020,Ilios,Hollywood,1.2909701385543597
May Melee - 2020,Ilios,Junkertown,1.9275420955721163
May Melee - 2020,Ilios,King's Row,1.9217968233555573
May Melee - 2020,Ilios,Lijiang Tower,2.093333821774195
May Melee - 2020,Ilios,Nepal,2.3935747490052632
May Melee - 2020,Ilios,Oasis,1.3239198645972914
May Melee - 2020,Ilios,Rialto,2.668931049369427
May Melee - 2020,Ilios,Temple of Anubis,2.069574148106899
May Melee - 2020,Ilios,Volskaya Industries,1.0988505749561364
May Melee - 2020,Ilios,Watchpoint: Gibraltar,0.49965419226731517
May Melee - 2020,Junkertown,Blizzard World,0.9582721532515862
May Melee - 2020,Junkertown,Busan,0.5465409589990395
May Melee - 2020,Junkertown,Hanamura,0.568968494475168
May Melee - 2020,Junkertown,Hollywood,1.1146929144740325
May Melee - 2020,Junkertown,Ilios,1.9275420955721163
May Melee - 2020,Junkertown,King's Row,0.888219724320928
May Melee - 2020,Junkertown,Lijiang Tower,1.106169681087571
May Melee - 2020,Junkertown,Nepal,1.064429624554986
May Melee - 2020,Junkertown,Oasis,1.0896087404264827
May Melee - 2020,Junkertown,Rialto,1.3468793257734506
May Melee - 2020,Junkertown,Temple of Anubis,0.9203764232210588
May Melee - 2020,Junkertown,Volskaya Industries,1.1807421746567617
May Melee - 2020,Junkertown,Watchpoint: Gibraltar,1.6756847236097352
May Melee - 2020,King's Row,Blizzard World,1.1134138263203477
May Melee - 2020,King's Row,Busan,0.9683961434972205
May Melee - 2020,King's Row,Hanamura,0.5811875498770974
May Melee - 2020,King's Row,Hollywood,1.0190572526211477
May Melee - 2020,King's Row,Ilios,1.9217968233555573
May Melee - 2020,King's Row,Junkertown,0.888219724320928
May Melee - 2020,King's Row,Lijiang Tower,0.7141683676794607
May Melee - 2020,King's Row,Nepal,0.7018081828947896
May Melee - 2020,King's Row,Oasis,0.7169969674695834
May Melee - 2020,King's Row,Rialto,1.4176198070014219
May Melee - 2020,King's Row,Temple of Anubis,0.7589681847243875
May Melee - 2020,King's Row,Volskaya Industries,1.2170427261307752
May Melee - 2020,King's Row,Watchpoint: Gibraltar,1.6519748879541127
