match_id,game_number,map_name,map_winner,match_date,team_one_name,team_two_name,team_one_score,team_two_score,season
10223,3,Ilios,Los Angeles Valiant,2018/01/11,Los Angeles Valiant,San Francisco Shock,99.66666666666666,54.99999999999999,2018
10224,3,Ilios,Los Angeles Gladiators,2018/01/11,Shanghai Dragons,Los Angeles Gladiators,52.33333333333333,66.66666666666666,2018
10225,3,Ilios,Seoul Dynasty,2018/01/11,Dallas Fuel,Seoul Dynasty,11.666666666666666,66.66666666666666,2018
10226,3,Oasis,London Spitfire,2018/01/11,London Spitfire,Florida Mayhem,66.66666666666666,66.0,2018
10227,3,Oasis,Philadelphia Fusion,2018/01/12,Philadelphia Fusion,Houston Outlaws,66.66666666666666,0.0,2018
10227,5,Lijiang Tower,Philadelphia Fusion,2018/01/12,Philadelphia Fusion,Houston Outlaws,66.66666666666666,27.0,2018
10228,3,Ilios,New York Excelsior,2018/01/12,Boston Uprising,New York Excelsior,8.0,66.66666666666666,2018
10229,3,Ilios,Los Angeles Valiant,2018/01/13,Los Angeles Valiant,Dallas Fuel,66.66666666666666,33.0,2018
10230,3,Oasis,Boston Uprising,2018/01/13,Florida Mayhem,Boston Uprising,11.0,66.66666666666666,2018
10231,3,Ilios,San Francisco Shock,2018/01/13,San Francisco Shock,Shanghai Dragons,66.66666666666666,23.666666666666664,2018
10232,3,Ilios,London Spitfire,2018/01/13,London Spitfire,Philadelphia Fusion,66.66666666666666,10.666666666666666,2018
10233,3,Ilios,New York Excelsior,2018/01/13,New York Excelsior,Houston Outlaws,66.66666666666666,41.666666666666664,2018
10234,3,Ilios,Seoul Dynasty,2018/01/14,Seoul Dynasty,Los Angeles Gladiators,66.66666666666666,50.666666666666664,2018
10235,3,Oasis,Philadelphia Fusion,2018/01/18,San Francisco Shock,Philadelphia Fusion,46.99999999999999,97.99999999999999,2018
10236,3,Oasis,Seoul Dynasty,2018/01/18,Florida Mayhem,Seoul Dynasty,54.666666666666664,66.66666666666666,2018
10237,3,Oasis,Houston Outlaws,2018/01/18,Houston Outlaws,Shanghai Dragons,66.66666666666666,39.0,2018
10238,3,Oasis,Houston Outlaws,2018/01/18,Dallas Fuel,Houston Outlaws,25.333333333333332,66.66666666666666,2018
10239,3,Oasis,New York Excelsior,2018/01/19,New York Excelsior,Los Angeles Valiant,99.66666666666666,63.33333333333333,2018
10240,3,Ilios,Los Angeles Gladiators,2018/01/19,Philadelphia Fusion,Los Angeles Gladiators,46.66666666666666,99.66666666666666,2018
10240,5,Lijiang Tower,Los Angeles Gladiators,2018/01/19,Philadelphia Fusion,Los Angeles Gladiators,62.666666666666664,66.66666666666666,2018
10241,3,Oasis,Seoul Dynasty,2018/01/20,Seoul Dynasty,Boston Uprising,66.66666666666666,15.666666666666666,2018
10242,3,Ilios,Florida Mayhem,2018/01/20,Shanghai Dragons,Florida Mayhem,35.666666666666664,66.66666666666666,2018
10243,3,Oasis,Dallas Fuel,2018/01/20,London Spitfire,Dallas Fuel,56.33333333333333,66.66666666666666,2018
10244,3,Oasis,Los Angeles Valiant,2018/01/20,Los Angeles Valiant,London Spitfire,66.66666666666666,33.0,2018
10244,5,Lijiang Tower,London Spitfire,2018/01/20,Los Angeles Valiant,London Spitfire,34.0,66.66666666666666,2018
10245,3,Oasis,New York Excelsior,2018/01/20,Los Angeles Gladiators,New York Excelsior,66.0,66.66666666666666,2018
10246,3,Oasis,San Francisco Shock,2018/01/21,Boston Uprising,San Francisco Shock,66.0,66.66666666666666,2018
10246,5,Lijiang Tower,San Francisco Shock,2018/01/21,Boston Uprising,San Francisco Shock,93.0,66.66666666666666,2018
10247,3,Oasis,San Francisco Shock,2018/01/25,San Francisco Shock,London Spitfire,96.33333333333331,65.0,2018
10248,3,Oasis,Seoul Dynasty,2018/01/25,Shanghai Dragons,Seoul Dynasty,50.33333333333333,78.33333333333331,2018
10249,3,Ilios,Los Angeles Valiant,2018/01/25,Los Angeles Gladiators,Los Angeles Valiant,66.33333333333333,89.66666666666666,2018
10249,5,Lijiang Tower,Los Angeles Valiant,2018/01/25,Los Angeles Gladiators,Los Angeles Valiant,73.33333333333333,99.66666666666666,2018
10250,3,Ilios,Boston Uprising,2018/01/25,Boston Uprising,London Spitfire,81.33333333333331,95.33333333333333,2018
10250,5,Lijiang Tower,Boston Uprising,2018/01/26,Boston Uprising,London Spitfire,66.66666666666666,49.666666666666664,2018
10251,3,Ilios,New York Excelsior,2018/01/26,Philadelphia Fusion,New York Excelsior,67.0,99.66666666666666,2018
10251,5,Lijiang Tower,Philadelphia Fusion,2018/01/26,Philadelphia Fusion,New York Excelsior,66.66666666666666,52.33333333333333,2018
10252,3,Ilios,Houston Outlaws,2018/01/26,Houston Outlaws,Florida Mayhem,66.66666666666666,66.0,2018
10253,3,Oasis,New York Excelsior,2018/01/27,Seoul Dynasty,New York Excelsior,73.0,79.66666666666666,2018
