team,Control rmsa attack,Control rmsa defend,Control rmsa,Control intercept,Escort rmsa attack,Escort rmsa defend,Escort rmsa,Escort intercept,Hybrid rmsa attack,Hybrid rmsa defend,Hybrid rmsa,Hybrid intercept,Assault rmsa attack,Assault rmsa defend,Assault rmsa,Assault intercept,Total Rating
Dallas Fuel,0.111,0.081,0.192,0.945,0.053,-0.014,0.039,0.909,0.059,0.05,0.109,0.947,0.282,0.184,0.466,1.114,0.998
Shanghai Dragons,0.056,0.107,0.163,0.945,0.008,0.05,0.057,0.909,0.005,0.063,0.068,0.947,0.19,0.208,0.398,1.114,0.85
Seoul Dynasty,0.054,0.045,0.099,0.945,-0.018,0.005,-0.014,0.909,0.023,0.037,0.061,0.947,-0.024,0.07,0.045,1.114,0.291
Atlanta Reign,0.04,0.049,0.089,0.945,0.028,0.055,0.083,0.909,0.148,0.126,0.275,0.947,0.058,0.051,0.109,1.114,0.645
Los Angeles Gladiators,0.077,0.004,0.081,0.945,0.051,0.02,0.071,0.909,0.139,0.111,0.25,0.947,0.145,0.071,0.216,1.114,0.699
Washington Justice,0.034,0.016,0.05,0.945,-0.036,-0.032,-0.068,0.909,-0.117,0.017,-0.1,0.947,-0.005,0.085,0.079,1.114,0.012
Houston Outlaws,-0.018,0.064,0.046,0.945,0.045,-0.0,0.045,0.909,0.068,0.029,0.096,0.947,0.11,0.173,0.282,1.114,0.516
San Francisco Shock,0.037,0.001,0.039,0.945,0.036,0.031,0.067,0.909,0.065,-0.097,-0.033,0.947,0.17,0.088,0.258,1.114,0.37
Chengdu Hunters,0.002,0.02,0.022,0.945,0.029,0.037,0.066,0.909,0.015,0.16,0.175,0.947,0.102,0.04,0.142,1.114,0.426
Boston Uprising,-0.009,0.002,-0.007,0.945,-0.021,-0.01,-0.032,0.909,0.228,-0.008,0.22,0.947,-0.126,-0.189,-0.315,1.114,-0.141
Toronto Defiant,-0.008,-0.007,-0.015,0.945,-0.026,-0.036,-0.062,0.909,-0.163,-0.096,-0.258,0.947,-0.148,-0.105,-0.253,1.114,-0.603
Philadelphia Fusion,0.014,-0.039,-0.024,0.945,0.07,0.046,0.116,0.909,0.009,-0.017,-0.008,0.947,0.079,-0.084,-0.006,1.114,0.053
Guangzhou Charge,0.039,-0.067,-0.028,0.945,-0.036,-0.037,-0.072,0.909,-0.043,-0.099,-0.141,0.947,-0.102,-0.062,-0.164,1.114,-0.433
Hangzhou Spark,-0.009,-0.025,-0.034,0.945,-0.018,-0.001,-0.018,0.909,0.168,-0.025,0.143,0.947,0.033,-0.15,-0.117,1.114,-0.061
Florida Mayhem,-0.032,-0.035,-0.068,0.945,-0.015,0.041,0.027,0.909,0.125,0.012,0.138,0.947,-0.173,-0.05,-0.223,1.114,-0.194
Paris Eternal,-0.065,-0.006,-0.071,0.945,0.025,0.004,0.029,0.909,-0.135,-0.003,-0.138,0.947,0.119,0.061,0.18,1.114,-0.071
New York Excelsior,-0.062,-0.036,-0.098,0.945,0.021,0.056,0.077,0.909,0.027,-0.024,0.003,0.947,-0.14,0.009,-0.13,1.114,-0.247
Vancouver Titans,-0.083,-0.027,-0.11,0.945,-0.077,-0.06,-0.137,0.909,-0.241,-0.027,-0.268,0.947,-0.181,-0.156,-0.337,1.114,-0.962
London Spitfire,-0.068,-0.076,-0.144,0.945,-0.037,-0.049,-0.086,0.909,-0.145,-0.05,-0.195,0.947,-0.068,-0.193,-0.261,1.114,-0.83
Los Angeles Valiant,-0.112,-0.07,-0.182,0.945,-0.082,-0.106,-0.188,0.909,-0.236,-0.159,-0.395,0.947,-0.319,-0.05,-0.37,1.114,-1.316
