match_id,game_number,map_name,map_type,map_winner,match_date,team_one_name,team_two_name,team_one_score,team_two_score,season
37147,1,Busan,Control,Dallas Fuel,2021/05/02,Dallas Fuel,Houston Outlaws,1.0,0.495,2021
37148,1,Oasis,Control,Florida Mayhem,2021/05/02,Florida Mayhem,Washington Justice,1.0,1.23,2021
37149,1,Busan,Control,Dallas Fuel,2021/05/02,Dallas Fuel,San Francisco Shock,1.0,0.335,2021
37150,1,Ilios,Control,Florida Mayhem,2021/05/02,Toronto Defiant,Florida Mayhem,0.455,1.0,2021
37211,1,Oasis,Control,Atlanta Reign,2021/05/01,San Francisco Shock,Atlanta Reign,0.68,1.0,2021
37211,5,Nepal,Control,San Francisco Shock,2021/05/02,San Francisco Shock,Atlanta Reign,1.0,0.72,2021
37212,1,Lijiang Tower,Control,Toronto Defiant,2021/05/01,London Spitfire,Toronto Defiant,1.075,1.17,2021
37213,1,Lijiang Tower,Control,Florida Mayhem,2021/05/01,Florida Mayhem,Paris Eternal,1.0,0.5,2021
37214,1,Oasis,Control,Washington Justice,2021/04/30,Toronto Defiant,Washington Justice,0.735,1.0,2021
37215,1,Busan,Control,San Francisco Shock,2021/04/30,San Francisco Shock,Florida Mayhem,1.0,0.0,2021
37216,1,Ilios,Control,Boston Uprising,2021/04/30,Boston Uprising,London Spitfire,1.445,0.715,2021
37216,5,Lijiang Tower,Control,Boston Uprising,2021/04/30,Boston Uprising,London Spitfire,1.465,0.87,2021
37217,1,Busan,Control,Washington Justice,2021/04/29,Washington Justice,Boston Uprising,1.0,0.995,2021
37218,1,Busan,Control,Atlanta Reign,2021/04/29,Paris Eternal,Atlanta Reign,0.5,1.185,2021
37219,1,Lijiang Tower,Control,Washington Justice,2021/04/25,Vancouver Titans,Washington Justice,0.17,1.0,2021
37220,1,Nepal,Control,Dallas Fuel,2021/04/25,Boston Uprising,Dallas Fuel,0.0,1.0,2021
37221,1,Oasis,Control,Houston Outlaws,2021/04/25,Houston Outlaws,London Spitfire,1.0,0.445,2021
37222,1,Ilios,Control,Washington Justice,2021/04/24,Washington Justice,Dallas Fuel,1.0,0.97,2021
37223,1,Oasis,Control,Los Angeles Gladiators,2021/04/24,Boston Uprising,Los Angeles Gladiators,0.865,1.435,2021
37224,1,Nepal,Control,Houston Outlaws,2021/04/24,Houston Outlaws,Paris Eternal,1.0,0.17,2021
37225,1,Busan,Control,Los Angeles Gladiators,2021/04/23,Los Angeles Gladiators,London Spitfire,1.0,0.76,2021
37226,1,Oasis,Control,Vancouver Titans,2021/04/23,Paris Eternal,Vancouver Titans,0.0,1.0,2021
37227,1,Nepal,Control,Atlanta Reign,2021/04/18,Toronto Defiant,Atlanta Reign,0.43,1.0,2021
37227,5,Busan,Control,Toronto Defiant,2021/04/19,Toronto Defiant,Atlanta Reign,1.0,0.495,2021
37228,1,Nepal,Control,Florida Mayhem,2021/04/18,Florida Mayhem,Vancouver Titans,1.265,1.48,2021
37229,1,Lijiang Tower,Control,Houston Outlaws,2021/04/18,Houston Outlaws,San Francisco Shock,1.0,0.395,2021
37229,5,Oasis,Control,San Francisco Shock,2021/04/18,Houston Outlaws,San Francisco Shock,0.645,1.0,2021
37230,1,Lijiang Tower,Control,Dallas Fuel,2021/04/17,Dallas Fuel,Los Angeles Gladiators,1.175,1.21,2021
37231,1,Ilios,Control,Florida Mayhem,2021/04/17,Atlanta Reign,Florida Mayhem,1.29,1.495,2021
37232,1,Busan,Control,Toronto Defiant,2021/04/17,Toronto Defiant,Vancouver Titans,1.49,0.5,2021
37233,1,Ilios,Control,Los Angeles Gladiators,2021/04/16,Los Angeles Gladiators,San Francisco Shock,1.465,1.325,2021
37234,1,Busan,Control,Houston Outlaws,2021/04/16,Houston Outlaws,Dallas Fuel,1.495,0.77,2021
37234,5,Ilios,Control,Houston Outlaws,2021/04/16,Houston Outlaws,Dallas Fuel,1.0,0.99,2021
37235,1,Ilios,Control,Hangzhou Spark,2021/06/05,Chengdu Hunters,Hangzhou Spark,1.49,1.0,2021
37236,1,Busan,Control,Seoul Dynasty,2021/06/05,Guangzhou Charge,Seoul Dynasty,0.815,1.35,2021
37237,1,Nepal,Control,Philadelphia Fusion,2021/06/05,Los Angeles Valiant,Philadelphia Fusion,0.635,1.0,2021
37238,1,Oasis,Control,Hangzhou Spark,2021/06/04,Los Angeles Valiant,Hangzhou Spark,0.435,1.0,2021
37239,1,Nepal,Control,Seoul Dynasty,2021/06/04,Chengdu Hunters,Seoul Dynasty,0.53,1.0,2021
37239,5,Busan,Control,Seoul Dynasty,2021/06/04,Chengdu Hunters,Seoul Dynasty,0.5,1.495,2021
37240,1,Oasis,Control,Philadelphia Fusion,2021/06/04,Guangzhou Charge,Philadelphia Fusion,0.75,1.0,2021
37241,1,Ilios,Control,Shanghai Dragons,2021/05/01,Shanghai Dragons,New York Excelsior,1.24,0.79,2021
37242,1,Oasis,Control,Hangzhou Spark,2021/05/01,Guangzhou Charge,Hangzhou Spark,0.995,1.0,2021
37243,1,Nepal,Control,Seoul Dynasty,2021/05/01,Seoul Dynasty,Los Angeles Valiant,1.0,0.35,2021
37244,1,Nepal,Control,Shanghai Dragons,2021/04/30,Shanghai Dragons,Hangzhou Spark,1.0,0.495,2021
37244,5,Busan,Control,Shanghai Dragons,2021/04/30,Shanghai Dragons,Hangzhou Spark,1.0,0.495,2021
37245,1,Lijiang Tower,Control,Seoul Dynasty,2021/04/30,Seoul Dynasty,New York Excelsior,1.0,0.96,2021
37246,1,Ilios,Control,Guangzhou Charge,2021/04/30,Los Angeles Valiant,Guangzhou Charge,1.475,1.495,2021
37247,1,Ilios,Control,Philadelphia Fusion,2021/04/25,Chengdu Hunters,Philadelphia Fusion,1.435,1.245,2021
37248,1,Busan,Control,New York Excelsior,2021/04/25,Hangzhou Spark,New York Excelsior,0.785,1.115,2021
37249,1,Lijiang Tower,Control,Hangzhou Spark,2021/04/24,Philadelphia Fusion,Hangzhou Spark,1.455,1.185,2021
37250,1,Nepal,Control,Chengdu Hunters,2021/04/24,Chengdu Hunters,New York Excelsior,1.0,0.945,2021
37251,1,Busan,Control,Philadelphia Fusion,2021/04/18,Philadelphia Fusion,Los Angeles Valiant,1.265,0.76,2021
37252,1,Busan,Control,Seoul Dynasty,2021/04/18,Guangzhou Charge,Seoul Dynasty,0.18,1.0,2021
37253,1,Oasis,Control,Chengdu Hunters,2021/04/18,Chengdu Hunters,Shanghai Dragons,1.0,0.495,2021
37254,1,Oasis,Control,Philadelphia Fusion,2021/04/17,Philadelphia Fusion,Seoul Dynasty,1.0,1.415,2021
37255,1,Lijiang Tower,Control,Chengdu Hunters,2021/04/17,Los Angeles Valiant,Chengdu Hunters,0.295,1.0,2021
37256,1,Lijiang Tower,Control,Shanghai Dragons,2021/04/17,Guangzhou Charge,Shanghai Dragons,1.405,1.495,2021
37257,1,Nepal,Control,Washington Justice,2021/06/05,San Francisco Shock,Washington Justice,0.355,1.0,2021
37257,5,Busan,Control,San Francisco Shock,2021/06/05,San Francisco Shock,Washington Justice,1.43,1.38,2021
37258,1,Oasis,Control,Dallas Fuel,2021/06/05,Vancouver Titans,Dallas Fuel,0.775,1.0,2021
37259,1,Lijiang Tower,Control,Los Angeles Gladiators,2021/06/05,Paris Eternal,Los Angeles Gladiators,0.905,1.0,2021
37260,1,Oasis,Control,Washington Justice,2021/06/04,Florida Mayhem,Washington Justice,0.75,1.0,2021
37261,1,Lijiang Tower,Control,San Francisco Shock,2021/06/04,San Francisco Shock,Vancouver Titans,1.0,0.71,2021
37262,1,Oasis,Control,Boston Uprising,2021/06/04,Boston Uprising,Los Angeles Gladiators,1.0,0.99,2021
37263,1,Lijiang Tower,Control,Florida Mayhem,2021/06/03,Dallas Fuel,Florida Mayhem,1.43,1.495,2021
37263,5,Oasis,Control,Dallas Fuel,2021/06/03,Dallas Fuel,Florida Mayhem,1.0,0.495,2021
37264,1,Nepal,Control,Boston Uprising,2021/06/03,Boston Uprising,Paris Eternal,1.185,0.61,2021
37264,5,Busan,Control,Paris Eternal,2021/06/03,Boston Uprising,Paris Eternal,0.91,1.395,2021
37265,1,Busan,Control,San Francisco Shock,2021/05/30,Dallas Fuel,San Francisco Shock,1.415,1.215,2021
37265,5,Ilios,Control,San Francisco Shock,2021/05/30,Dallas Fuel,San Francisco Shock,0.995,1.495,2021
37266,1,Nepal,Control,Atlanta Reign,2021/05/30,Vancouver Titans,Atlanta Reign,0.055,1.005,2021
37267,1,Lijiang Tower,Control,Toronto Defiant,2021/05/30,Toronto Defiant,Houston Outlaws,1.34,1.02,2021
37268,1,Busan,Control,Los Angeles Gladiators,2021/05/29,Atlanta Reign,Los Angeles Gladiators,1.215,1.325,2021
37269,1,Oasis,Control,San Francisco Shock,2021/05/29,San Francisco Shock,Toronto Defiant,1.0,0.495,2021
